,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series6_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3
ACE2,542787,46817,306635,196485,46343,44438,75328,401071,284874,149271,185268,170531
AGTR1,40,3,23,12,3,3,73,257,258,129,135,143
CYBB,3,1,1,0,1,0,0,22,3,15,0,0
NFKB1,334,29,239,370,62,61,66,328,280,904,999,1058
RELA,1235,138,1037,295,80,79,148,741,625,509,634,617
TNF,0,0,0,18,5,9,4,5,4,49,57,50
IL6,0,0,0,3,2,2,6,22,20,84,63,60
IL1B,1,1,0,0,0,0,21,19,18,23,29,23
IL12A,45,6,31,18,2,3,2,14,11,12,10,17
IL12B,4,1,1,1,0,0,0,1,0,1,0,0
MMP3,0,0,0,0,0,0,2,1,1,0,1,0
MMP1,1,0,0,4,0,0,4,17,7,3,3,10
CCL2,118,17,71,312,63,45,72,289,293,613,795,790
ISG15,84,7,63,30,6,4,12,93,46,471,540,416
IFIH1,25,5,14,28,1,2,9,51,41,629,528,400
TBK1,1092,108,645,535,133,124,170,850,629,821,871,989
MBL2,0,0,0,0,0,0,0,0,0,0,0,0
MASP1,3,0,4,0,0,1,2,0,1,1,0,1
MASP2,2,0,1,0,0,0,2,39,23,32,42,41
C2,46,2,11,11,2,1,4,14,15,21,24,30
C4A,0,0,0,0,0,0,0,0,0,0,0,0
C4B,0,0,0,0,0,0,0,0,0,0,0,0
C3,2547,208,1788,2332,575,558,926,4460,3803,2412,2207,1943
C5,2450,203,1440,824,256,261,527,2296,1872,209,174,151
C6,0,0,0,0,0,0,0,0,3,0,0,0
C7,2,0,0,0,0,0,6,1,0,0,0,0
C8A,0,0,0,0,0,0,0,0,0,0,0,0
C8B,0,0,0,0,0,0,0,0,0,0,0,0
C8G,13,1,12,1,0,0,0,3,4,1,1,0
C9,0,0,0,0,0,0,0,0,0,0,0,1
C1QA,0,0,0,0,0,0,0,1,0,1,0,0
C1QB,0,0,0,0,0,0,0,0,0,0,0,0
C1QC,0,0,0,0,0,0,1,1,0,0,0,0
C1R,178,13,121,201,51,53,176,842,757,724,629,503
C1S,740,53,480,455,125,144,347,1512,1294,692,599,516
F2,57,4,31,9,0,3,3,31,25,1,6,4
FGA,868,75,514,864,267,284,139,583,360,270,243,231
FGB,771,65,444,781,252,274,134,393,371,182,125,100
FGG,747,73,442,676,222,227,84,371,232,154,102,80
RPS2,40942,4245,29263,11217,3849,2928,3283,17364,13492,3489,4115,4003
RPS3,25330,2093,17185,4138,1233,1003,3363,15118,12699,1942,2310,2359
RPS3A,15424,1109,8771,2508,660,725,1589,7681,6461,1195,1395,1518
RPS4Y2,0,0,0,0,0,0,0,0,0,0,0,0
RPS4X,29896,2520,18907,3939,1190,1184,3849,19207,15055,2053,2380,2466
RPS4Y1,186,16,130,49,14,7,103,525,444,102,117,119
RPS5,19871,1953,17268,3671,1362,1017,2294,11854,9807,1479,1896,1867
RPS6,35578,2753,20990,4930,1458,1586,5151,23676,20009,3361,3898,3937
RPS7,26765,2355,15661,5152,1638,1619,2479,12643,10794,3138,3366,3444
RPS8,12617,974,7740,1881,568,535,2202,10277,8643,1744,2039,2141
RPS9,13284,1167,9429,1853,617,494,1314,6479,5498,609,699,784
RPS10,70,6,55,14,2,0,17,65,42,13,12,15
RPS11,33526,2925,23202,7276,2138,1830,4036,15861,13849,3745,4233,4254
RPS12,16689,1422,12452,3882,1278,1025,2596,12138,10226,2904,3749,3657
RPS13,11348,902,7641,2254,724,663,1324,6907,5933,1416,1758,1738
RPS14,17194,1482,11520,3163,964,918,2076,9524,8364,1615,1909,1892
RPS15,7386,780,6338,1219,457,390,674,3152,2749,318,411,419
RPS15A,16706,1273,10140,3401,988,1041,1910,9451,7547,2681,3062,3033
RPS16,39802,3750,33425,8074,2650,2311,4225,19738,16744,3676,4465,4621
RPS17,0,0,0,0,0,0,0,0,0,0,0,0
RPS18,22324,1701,12974,4002,1178,1164,2562,12182,10190,2001,2428,2530
RPS19,60047,5943,48643,8796,3053,2323,7315,37828,32106,4624,5489,5916
RPS20,18972,1590,12659,2987,982,963,2324,11374,8867,1905,2149,2138
RPS21,9949,934,7768,1550,592,517,1046,5645,4744,685,900,909
RPS23,21231,1711,12165,3858,1196,984,2189,10423,8784,1993,2206,2245
RPS24,28948,2161,15061,4451,1254,1226,3574,15287,11800,2593,2781,3083
RPS25,8260,596,4226,1052,297,311,1087,4334,3341,598,669,699
RPS26,3713,323,2757,400,148,157,358,1786,1524,190,190,169
RPS27,21086,1501,11672,4178,1297,1281,2187,9702,8278,2611,3035,3064
RPS27A,16887,1310,11273,3960,1118,987,2579,10443,9106,3089,3619,3825
RPS28,4454,428,3814,1019,355,242,394,2390,1693,345,455,476
RPS29,7363,753,6408,1485,565,459,1174,5991,5221,1095,1274,1223
FAU,7668,675,5709,1342,447,332,764,3950,3302,522,681,687
RPSA,29615,2599,20347,5950,1823,1629,2831,15622,13827,3198,3668,3513
IRF3,1063,101,802,258,59,50,91,487,411,126,144,115
STAT1,3960,388,2708,1441,462,474,573,2717,2276,2799,2602,2244
STAT2,390,30,287,124,23,30,54,252,209,920,813,730
